ID,Engaj,Idade,Regiao,Regiao_int,Tipo_Cliente,Sexo,Total_gasto,Tempo_relacionamento,Campanha,Status
0000000140,10,76,Centro-Oeste,CO04,16,U,16000,4,0,Ouro
0000000620,4,49,Centro-Oeste,CO04,35,U,6000,5,0,Ouro
0000000868,5,70,Centro-Oeste,CO04,27,F,0.019999999999999997,8,1,Prata
0000001120,10,65,Centro-Oeste,CO02,51,M,0.009999999999999998,7,1,Bronze
0000002313,11,68,Centro-Oeste,CO02,04,F,0.009999999999999998,8,0,Bronze
0000002771,9,72,Norte,N02,28,U,20759.809999999998,3,0,Platino
0000003131,11,74,Centro-Oeste,CO01,03,F,0.009999999999999998,8,0,Bronze
0000003328,13,62,Norte,N01,32,M,0.009999999999999998,5,0,Bronze
0000004529,10,62,Centro-Oeste,CO01,49,M,2038.76,3,0,Prata
0000005886,14,43,,,49,F,6000,1,1,Ouro
0000007420,7,60,Norte,N01,52,F,11000,2,0,Ouro
0000009814,5,,Leste,L01,24,M,5000,1,1,Prata
0000010006,9,51,Centro-Oeste,CO02,52,F,300,11,0,Prata
0000010219,6,64,Leste,L02,19,F,0.009999999999999998,9,0,Bronze
0000010812,16,37,Leste,L01,18,F,0.009999999999999998,4,1,Bronze
0000011207,8,54,Centro-Oeste,CO02,28,M,1420,1,0,Prata
0000011932,5,70,Centro-Oeste,CO02,15,F,6104.66,8,0,Ouro
0000014656,,42,Centro-Oeste,CO01,19,F,0.009999999999999998,5,1,Bronze
0000015350,7,,Sul,S02,40,F,0.009999999999999998,5,1,Bronze
0000017302,7,49,Leste,L01,28,,0.009999999999999998,7,0,Bronze
0000019496,9,66,Centro-Oeste,CO02,49,F,500,12,0,Prata
0000019763,9,74,Centro-Oeste,CO04,08,F,6000,2,0,Ouro
0000020478,6,70,Centro-Oeste,CO01,37,,16000,2,0,Ouro
0000020761,7,66,Leste,L02,30,M,1000,5,0,Prata
0000023124,6,46,Leste,L01,27,F,0.009999999999999998,8,0,Bronze
0000024554,10,39,Centro-Oeste,CO03,,M,0.009999999999999998,5,0,Bronze
0000024880,7,75,Centro-Oeste,CO01,12,M,4000,7,0,Prata
0000026387,,72,Centro-Oeste,CO03,,F,1250,23,1,Prata
0000027715,7,43,Norte,N02,53,M,0.009999999999999998,5,1,Bronze
0000029173,7,62,Centro-Oeste,CO04,24,F,20000,4,0,Ouro
0000029440,8,37,Oeste,O,05,M,1000,9,1,Prata
0000030600,9,49,Leste,L01,48,F,0.009999999999999998,8,0,Bronze
0000030937,8,79,Norte,N01,32,,6000,1,0,Ouro
0000039330,,,Centro-Oeste,CO01,50,M,0.009999999999999998,4,0,Bronze
0000041092,3,50,Centro-Oeste,CO01,35,F,9800,3,0,Ouro
0000041475,,66,Leste,L01,28,M,0.009999999999999998,11,0,Bronze
0000042439,15,35,Centro-Oeste,CO04,19,F,1630,5,1,Prata
0000045799,10,71,Centro-Oeste,CO04,14,F,1500,5,0,Prata
0000046906,7,44,Norte,N02,51,F,1000,1,0,Prata
0000050237,8,42,Norte,N01,15,M,0.009999999999999998,5,0,Bronze
0000051950,9,68,Oeste,O,08,F,6053.25,5,1,Ouro
0000054496,9,31,Norte,N03,32,F,0.009999999999999998,4,0,Bronze
0000056073,8,70,Leste,L01,12,F,19053.82,15,0,Ouro
0000057002,7,72,Norte,N01,38,F,20526.96,3,0,Platino
0000057622,12,41,Centro-Oeste,CO01,,M,0.009999999999999998,9,0,Bronze
0000059056,9,37,Norte,N01,52,F,6000,1,1,Ouro
0000059862,8,58,Norte,N02,24,F,10053.349999999999,7,0,Ouro
